,ticker,eps,dividend,tcl,tse,stable,total_cash,total_current_asset
14,NTWK,1.310344828,,"[18969718, 20830926, 23595149, 21032680]","[42067454, 45403834, 51060442, 53100869]","[0.4509357281284482, 0.4587922244628064, 0.4621023257103806, 0.396089186412373]","[17366364, 20166830, 33705154, 23963797]","[54591816, 51895711, 55578774, 49428136]"
15,SOH1.F,0.140105079,,"[345733000, 345733000, 392585000, 392585000]","[1043934000, 1043934000, 765182000, 765182000]","[0.33118281423921436, 0.33118281423921436, 0.5130609449777961, 0.5130609449777961]","[175308000, 190998000, 644376000, 727822000]","[432969000, 555994000, 1009522000, 1216379000]"
16,DCCPF,,0.041500002,"[3928341000, 3928341000, 3762389000, 3762389000]","[3006138000, 3006138000, 2905184000, 2905184000]","[1.3067733417427942, 1.3067733417427942, 1.2950604849813299, 1.2950604849813299]","[1554093000, 1794467000, 1786556000, 1394272000]","[3817593000, 4105236000, 4202059000, 5143912000]"
17,BLUA,,,"[883446, 815057, 773434, 948611]","[-11874950, -13042951, -16114871, -16393952]","[-0.07439576587690895, -0.062490229396706315, -0.047995047555763864, -0.057863473066164885]","[nan, 562346]","[11354, 779451]"
18,MONDW,,,,,,"[31425000, 15506000]","[53305000, 40691000]"
19,HQL,,0.1034,"[12936347, 12936347, 10745112, 10745112]","[435474888, 435474888, 523440208, 523440208]","[0.029706298472025786, 0.029706298472025786, 0.020527868963402217, 0.020527868963402217]","[1123138, nan, 990]","[nan, nan, nan]"
20,BZUN,1.887705712,,"[3090292000, 3149895000, 4776626000, 1623427000]","[4461563000, 4673129000, 4896359000, 5208892000]","[0.692647845609263, 0.6740440933687043, 0.9755465234473207, 0.31166455361332124]","[457340000, 1144451000, 3579665000, 4606545000]","[3252423000, 5690371000, 9158800000, 9203980000]"
21,NEOVW,,,,,,"[425681, 330385]","[3262191, 4125332]"
22,RNL.F,-0.513350501,,"[67542000000, 67542000000, 67285000000, 67285000000]","[27399000000, 27399000000, 27320000000, 27320000000]","[2.465126464469506, 2.465126464469506, 2.4628477306002927, 2.4628477306002927]","[14777000000, 14982000000, 21697000000, 21928000000]","[69975000000, 73778000000, 74275000000, 72331000000]"
23,DATS,,,"[448684, 499655, 415123, 579989]","[15240879, 17058795, 17743026, 20084014]","[0.029439509361631963, 0.02929016967493894, 0.023396403747590742, 0.02887814159062028]","[70774, 690423, 20199735]","[176774, 715683, 20576986]"
24,BSL,,0.0731,"[108237454, 108237454, 132305675, 132305675]","[193615786, 193615786, 219386873, 219386873]","[0.5590321751967063, 0.5590321751967063, 0.603070152697787, 0.603070152697787]","[5596156, 8534490, 9146432, 3809796]","[nan, nan, nan, nan]"
25,M8Y.F,,0.1094,"[262410000, 262410000, 214056000, 214056000]","[685743000, 685743000, 743118000, 743118000]","[0.3826652258936657, 0.3826652258936657, 0.2880511574204904, 0.2880511574204904]","[377106000, 72024000, 464611000, 257178000]","[452648000, 129262000, 543599000, 388724000]"
26,AVEVF,,0.0136,"[504600000, 504600000, 608100000, 608100000]","[5666700000, 5666700000, 5209200000, 5209200000]","[0.08904653502038223, 0.08904653502038223, 0.11673577516701221, 0.11673577516701221]","[127200000, 114500000, 286600000, 279300000]","[477800000, 519400000, 846400000, 974700000]"
27,BEDU,6.626506024,0.14,"[3434608000, 3648059000, 3648059000, 4031022000]","[2361009000, 2408705000, 2408705000, 2546827000]","[1.4547204182618534, 1.5145312522704109, 1.5145312522704109, 1.5827623941476983]","[3246995000, 3377684000, 844684000]","[3741848000, 4700630000, 3688087000]"
28,JPC,,0.08979999,"[120080343, 120080343, 132417934, 132417934]","[884062038, 884062038, 1000334396, 1000334396]","[0.1358279598473156, 0.1358279598473156, 0.13237366877465642, 0.13237366877465642]","[275186, 243503, 1753749, 4615537]","[nan, nan, nan, nan]"
29,HPF,,0.0942,"[3525915, 3525915, 3299411, 3299411]","[439720363, 439720363, 414055082, 414055082]","[0.008018539273333585, 0.008018539273333585, 0.00796853158778522, 0.00796853158778522]","[90988, nan, 101570, 195356]","[nan, nan, nan, nan]"
30,ITRI,-2.421052632,,"[502117000, 461190000, nan, 501344000]","[1093828000, 1110110000, nan, 1116077000]","[0.45904566348639825, 0.41544531622992315, nan, 0.44920198158370794]","[120221000, 149904000, 206933000, 162579000]","[896141000, 997251000, 930262000, 749929000]"
31,NVSEF,,0.045100003,"[28160000000, 27646000000, 29807000000, 30208000000]","[60820000000, 62925000000, 61540000000, 67655000000]","[0.46300559026635973, 0.43934843067143425, 0.4843516412089698, 0.4465006281871259]","[13271000000, 11112000000, 9658000000, 12407000000]","[35563000000, 29504000000, 29673000000, 45718000000]"
32,PLTK,1.537356322,,"[525900000, 616400000, 531500000, 569700000]","[-88400000, -184100000, -240000000, -377700000]","[-5.949095022624435, -3.348180336773493, -2.214583333333333, -1.5083399523431296]","[300500000, 266800000, 520100000, 1017000000]","[542800000, 477100000, 754500000, 1335700000]"
33,TBPH,0.654855349,,"[142132000, 32624000, 44201000, 58587000]","[480578000, -349809000, -351450000, -338573000]","[0.2957521983944334, -0.09326232315349234, -0.12576753449992886, -0.1730409690081607]","[378021000, 58064000, 81467000, 89959000]","[532823000, 338488000, 393341000, 249870000]"
34,GENC,9.80952381,,"[14847000, 18876000, 15736000, 11387000]","[166439000, 167454000, 167015000, 167289000]","[0.08920385246246372, 0.1127234942133362, 0.0942190821183726, 0.06806783470521074]","[10302000, 35584000, 23232000]","[156930000, 161758000, 166823000]"
35,0R7S.L,,,"[2577828000000, 2561628000000, 2377223000000, 1907016000000]","[191989000000, 185666000000, 178628000000, 181706000000]","[13.426956752730625, 13.796968750336626, 13.30823275186421, 10.495063454151211]",,
36,IMQCF,,,"[1183371000, nan, 719098000, nan]","[6444416000, 5998774000, 5998774000, 5474921000]","[0.18362734497586747, nan, 0.11987416095355484, nan]",,
37,NHIC,,,"[259000, 187000, 231000, nan]","[-5188000, -4973000, -4898000, nan]","[-0.04992289899768697, -0.03760305650512769, -0.04716210698244181, nan]",[1972000],[2680000]
38,PALT,-0.27027027,,"[3471092, 3568227, 2944075, 3672875]","[21831588, 23181380, 24464117, 25050591]","[0.15899402278936375, 0.15392642715834864, 0.12034258174942508, 0.14661829734875317]","[6555376, 3427058, 5585420, 21636860]","[7265381, 3725185, 5893534, 22029566]"
39,TPL,1.923076923,0.0054,"[43599000, 57073000, 67279000, 50900000]","[721170000, 645281000, 727876000, 651711000]","[0.06045592578726237, 0.0884467387076328, 0.0924319526952393, 0.07810210353975919]","[119647000, 303645000, 281046000, 428242000]","[188287000, 473715000, 439776000, 635584000]"
40,RMR,1.098901099,0.0598,"[109175000, 107054000, 95877000, 89665000]","[206621000, 200481000, 198783000, 197511000]","[0.5283828846051466, 0.5339857642370099, 0.4823199166930774, 0.4539747153323106]","[358448000, 369663000, 159835000]","[464857000, 456145000, 254517000]"
41,WTFCM,,0.0685,"[43182052000, 42785834000, 43344219000, 42492092000]","[4225480000, 4315123000, 4079756000, 4086188000]","[10.219442998191921, 9.91532199661516, 10.624218458162694, 10.398956680407265]","[1491736000, 2450727000, 5124942000, 5783753000]","[nan, nan, nan, nan]"
42,MIXT,0.917647059,0.0274,"[45598000, 38793000, 40541000, 37160000]","[104787000, 115728000, 126692000, 119431000]","[0.43514939830322463, 0.33520841974284526, 0.3199965270103874, 0.31114199830864686]","[26421913.534096, 17953000, 45489000, 33738000]","[60124473.63652, 53398000, 77226000, 74630000]"
43,AIO,,0.111099996,,,,"[919087, 954, 100000]","[nan, nan, nan]"
44,NXS.F,,0.012,"[3502000000, 3502000000, 2887000000, 2887000000]","[1607000000, 1607000000, 1447000000, 1447000000]","[2.179215930304916, 2.179215930304916, 1.995162404975812, 1.995162404975812]","[901000000, 642000000, 1142000000, 972000000]","[3349000000, 3065000000, 3288000000, 3534000000]"
45,LOCL,0.171102662,,"[14874000, 9527000, 14289000, 17968000]","[119346000, 135437000, 86953000, 101683000]","[0.12462922929968327, 0.0703426685469997, 0.16433015537129253, 0.17670603739071428]","[45000, 96661000]","[628000, 105508000]"
46,SOHOB,,0.2586,"
2021-12-31    40085644.0
2020-12-31    39909001.0
2019-12-31    24400397.0
2018-12-31    19677689.0
Name: Total Current Liabilities, dtype: float64","
2021-12-31   -81062011.0
2020-12-31   -52776851.0
2019-12-31      278984.0
2018-12-31    12564412.0
Name: Total Stockholder Equity, dtype: float64","
2021-12-31    -0.494506
2020-12-31    -0.756184
2019-12-31    87.461636
2018-12-31     1.566145
dtype: float64","
2021-12-31    13166883.0
2020-12-31    25297771.0
2019-12-31    23738066.0
2018-12-31    33792773.0
Name: Cash, dtype: float64","
2021-12-31    60165439.0
2020-12-31    45209226.0
2019-12-31    38547258.0
2018-12-31    50160433.0
Name: Total Current Assets, dtype: float64"
47,0K91.L,,,"
2021-12-31    1.655114e+11
2020-12-31    1.507774e+11
2019-12-31    1.191280e+11
2018-12-31    1.157839e+11
Name: Total Current Liabilities, dtype: float64","
2021-12-31    1.113190e+10
2020-12-31    1.080340e+10
2019-12-31    9.817600e+09
2018-12-31    9.626300e+09
Name: Total Stockholder Equity, dtype: float64","
2021-12-31    14.868208
2020-12-31    13.956477
2019-12-31    12.134126
2018-12-31    12.027872
dtype: float64","
2021-12-31    3.056800e+09
2020-12-31    4.389500e+09
2019-12-31    4.464200e+09
2018-12-31    4.715600e+09
Name: Cash, dtype: float64","
2021-12-31    7.475970e+10
2020-12-31    6.981700e+10
2019-12-31    4.699990e+10
2018-12-31    4.383010e+10
Name: Total Current Assets, dtype: float64"
48,EFOI,0.311645708,,"
2021-12-31    8156000.0
2020-12-31    7557000.0
2019-12-31    6542000.0
2018-12-31    7240000.0
Name: Total Current Liabilities, dtype: float64","
2021-12-31     6209000.0
2020-12-31     4255000.0
2019-12-31     3996000.0
2018-12-31    11052000.0
Name: Total Stockholder Equity, dtype: float64","
2021-12-31    1.313577
2020-12-31    1.776028
2019-12-31    1.637137
2018-12-31    0.655085
dtype: float64","
2021-12-31    2682000.0
2020-12-31    1836000.0
2019-12-31     350000.0
2018-12-31    6335000.0
Name: Cash, dtype: float64","
2021-12-31    13424000.0
2020-12-31    11076000.0
2019-12-31     9334000.0
2018-12-31    17688000.0
Name: Total Current Assets, dtype: float64"
49,DERM,0.426320667,,"
2021-12-31    51606000.0
2020-12-31    28061000.0
2019-12-31    20897000.0
Name: Total Current Liabilities, dtype: float64","
2021-12-31    42043000.0
2020-12-31    10292000.0
2019-12-31     2752000.0
Name: Total Stockholder Equity, dtype: float64","
2021-12-31    1.227458
2020-12-31    2.726487
2019-12-31    7.593387
dtype: float64","
2021-12-31    49081000.0
2020-12-31     8246000.0
2019-12-31     4801000.0
Name: Cash, dtype: float64","
2021-12-31    84493000.0
2020-12-31    35242000.0
2019-12-31    25268000.0
Name: Total Current Assets, dtype: float64"
50,MESA,1.384083045,,"
2021-09-30    258192000.0
2020-09-30    353326000.0
2019-09-30    256706000.0
2018-09-30    251381000.0
Name: Total Current Liabilities, dtype: float64","
2021-09-30    488047000.0
2020-09-30    457859000.0
2019-09-30    425868000.0
2018-09-30    374467000.0
Name: Total Stockholder Equity, dtype: float64","
2021-09-30    0.529031
2020-09-30    0.771692
2019-09-30    0.602783
2018-09-30    0.671303
dtype: float64","
2021-09-30    120517000.0
2020-09-30     99395000.0
2019-09-30     68855000.0
2018-09-30    103311000.0
Name: Cash, dtype: float64","
2021-09-30    158386000.0
2020-09-30    155591000.0
2019-09-30    157841000.0
2018-09-30    197917000.0
Name: Total Current Assets, dtype: float64"
51,INGR,1.361165049,0.032899998,"
2021-12-31    1.512000e+09
2020-12-31    1.458000e+09
2019-12-31    9.670000e+08
2018-12-31    9.460000e+08
Name: Total Current Liabilities, dtype: float64","
2021-12-31    3.100000e+09
2020-12-31    2.951000e+09
2019-12-31    2.720000e+09
2018-12-31    2.388000e+09
Name: Total Stockholder Equity, dtype: float64","
2021-12-31    0.487742
2020-12-31    0.494070
2019-12-31    0.355515
2018-12-31    0.396147
dtype: float64","
2021-12-31    328000000.0
2020-12-31    665000000.0
2019-12-31    264000000.0
2018-12-31    327000000.0
Name: Cash, dtype: float64","
2021-12-31    2.697000e+09
2020-12-31    2.647000e+09
2019-12-31    2.160000e+09
2018-12-31    2.138000e+09
Name: Total Current Assets, dtype: float64"
52,FSNUF,0.989428029,0.0495,"
2021-12-31    1.506200e+10
2020-12-31    1.311300e+10
2019-12-31    1.393600e+10
2018-12-31    1.327500e+10
Name: Total Current Liabilities, dtype: float64","
2021-12-31    1.899800e+10
2020-12-31    1.694900e+10
2019-12-31    1.677800e+10
2018-12-31    1.541100e+10
Name: Total Stockholder Equity, dtype: float64","
2021-12-31    0.792820
2020-12-31    0.773674
2019-12-31    0.830612
2018-12-31    0.861398
dtype: float64","
2021-12-31    2.764000e+09
2020-12-31    1.837000e+09
2019-12-31    1.654000e+09
2018-12-31    2.709000e+09
Name: Cash, dtype: float64","
2021-12-31    1.746100e+10
2020-12-31    1.577200e+10
2019-12-31    1.526400e+10
2018-12-31    1.479000e+10
Name: Total Current Assets, dtype: float64"
53,AEF,,0.113400005,"
2021-12-31    64464183.0
2020-12-31    49431335.0
2019-12-31    44550749.0
2018-12-31    62431697.0
Name: Total Current Liabilities, dtype: float64","
2021-12-31    441576255.0
2020-12-31    477472881.0
2019-12-31    439329810.0
2018-12-31    440818793.0
Name: Total Stockholder Equity, dtype: float64","
2021-12-31    0.145987
2020-12-31    0.103527
2019-12-31    0.101406
2018-12-31    0.141627
dtype: float64","
2021-12-31     236567.0
2020-12-31    4475665.0
2019-12-31     293497.0
2018-12-31     153936.0
Name: Cash, dtype: float64","
2021-12-31    1326957.0
2020-12-31    5288626.0
2019-12-31    1430322.0
2018-12-31    1840882.0
Name: Total Current Assets, dtype: float64"
54,FPF,,0.084300004,,,,,
55,HLT,-1.503293297,0.0046,"
2021-12-31    3.019000e+09
2020-12-31    2.431000e+09
2019-12-31    2.871000e+09
2018-12-31    2.615000e+09
Name: Total Current Liabilities, dtype: float64","
2021-12-31   -8.210000e+08
2020-12-31   -1.490000e+09
2019-12-31   -4.820000e+08
2018-12-31    5.510000e+08
Name: Total Stockholder Equity, dtype: float64","
2021-12-31   -3.677223
2020-12-31   -1.631544
2019-12-31   -5.956432
2018-12-31    4.745917
dtype: float64","
2021-12-31    1.427000e+09
2020-12-31    3.218000e+09
2019-12-31    5.380000e+08
2018-12-31    4.030000e+08
Name: Cash, dtype: float64","
2021-12-31    2.871000e+09
2020-12-31    4.202000e+09
2019-12-31    2.093000e+09
2018-12-31    1.983000e+09
Name: Total Current Assets, dtype: float64"
56,TS,3.973214286,0.0274,"
2021-12-31    1.559645e+09
2020-12-31    1.166475e+09
2019-12-31    1.780457e+09
2018-12-31    1.718363e+09
Name: Total Current Liabilities, dtype: float64","
2021-12-31    1.196058e+10
2020-12-31    1.126289e+10
2019-12-31    1.198896e+10
2018-12-31    1.178288e+10
Name: Total Stockholder Equity, dtype: float64","
2021-12-31    0.130399
2020-12-31    0.103568
2019-12-31    0.148508
2018-12-31    0.145836
dtype: float64","
2021-12-31    3.181270e+08
2020-12-31    5.846810e+08
2019-12-31    1.554299e+09
2018-12-31    4.283610e+08
Name: Cash, dtype: float64","
2021-12-31    4.981173e+09
2020-12-31    4.287672e+09
2019-12-31    5.670607e+09
2018-12-31    5.464192e+09
Name: Total Current Assets, dtype: float64"
57,PLAG,,,"
2021-12-31    34378887.0
2020-12-31     3627555.0
2019-12-31     4789864.0
2018-12-31     9921130.0
Name: Total Current Liabilities, dtype: float64","
2021-12-31    46906480.0
2020-12-31    18311436.0
2019-12-31    20734506.0
2018-12-31     8308882.0
Name: Total Stockholder Equity, dtype: float64","
2021-12-31    0.732924
2020-12-31    0.198103
2019-12-31    0.231009
2018-12-31    1.194039
dtype: float64","
2021-12-31     750658.0
2020-12-31    3415751.0
2019-12-31    7272510.0
2018-12-31    1062643.0
Name: Cash, dtype: float64","
2021-12-31    27303566.0
2020-12-31    13517140.0
2019-12-31    18157598.0
2018-12-31    14991024.0
Name: Total Current Assets, dtype: float64"
58,0IN2.L,,,,,,,
59,CFFI,,0.0286,"
2021-12-31    1.955371e+09
2020-12-31    1.783851e+09
2019-12-31    1.386563e+09
2018-12-31    1.199105e+09
Name: Total Current Liabilities, dtype: float64","
2021-12-31    210318000.0
2020-12-31    193805000.0
2019-12-31    164798000.0
2018-12-31    151958000.0
Name: Total Stockholder Equity, dtype: float64","
2021-12-31    9.297212
2020-12-31    9.204360
2019-12-31    8.413713
2018-12-31    7.891029
dtype: float64","
2021-12-31    267745000.0
2020-12-31     86669000.0
2019-12-31    164403000.0
2018-12-31    113943000.0
Name: Cash, dtype: float64","
2021-12-31    366745000.0
2020-12-31    332923000.0
2019-12-31    270267000.0
2018-12-31    167493000.0
Name: Total Current Assets, dtype: float64"
60,PPYA,,,"
2021-12-31    284392.0
Name: Total Current Liabilities, dtype: float64","
2021-12-31   -7972.0
Name: Total Stockholder Equity, dtype: float64","
2021-12-31   -35.673859
dtype: float64","
2021-12-31    21991.0
Name: Cash, dtype: float64","
2021-12-31    21991.0
Name: Total Current Assets, dtype: float64"
61,NAN,,0.0525,"
2022-02-28    40378251.0
2021-02-28    32764791.0
2020-02-29    37500622.0
2019-02-28    37845219.0
Name: Total Current Liabilities, dtype: float64","
2022-02-28    452687069.0
2021-02-28    473213769.0
2020-02-29    494882908.0
2019-02-28    453180238.0
Name: Total Stockholder Equity, dtype: float64","
2022-02-28    0.089197
2021-02-28    0.069239
2020-02-29    0.075777
2019-02-28    0.083510
dtype: float64",,"
2022-02-28    22386805.0
2021-02-28    27939110.0
2020-02-29    11583588.0
2019-02-28     8365429.0
Name: Total Current Assets, dtype: float64"
62,DELL,1.981042654,0.035,"
2022-01-28    5.621900e+10
2021-01-29    5.413200e+10
2020-01-31    5.245600e+10
2019-02-01    4.497200e+10
Name: Total Current Liabilities, dtype: float64","
2022-01-28   -1.685000e+09
2021-01-29    2.479000e+09
2020-01-31   -1.574000e+09
2019-02-01   -5.765000e+09
Name: Total Stockholder Equity, dtype: float64","
2022-01-28   -33.364392
2021-01-29    21.836224
2020-01-31   -33.326557
2019-02-01    -7.800867
dtype: float64","
2022-01-28    9.477000e+09
2021-01-29    9.508000e+09
2020-01-31    9.302000e+09
2019-02-01    9.676000e+09
Name: Cash, dtype: float64","
2022-01-28    4.503300e+10
2021-01-29    4.356700e+10
2020-01-31    3.686800e+10
2019-02-01    3.613800e+10
Name: Total Current Assets, dtype: float64"
63,PBI,-21.85185185,0.0683,"
2021-12-31    1.727940e+09
2020-12-31    1.870460e+09
2019-12-31    1.569692e+09
2018-12-31    1.889814e+09
Name: Total Current Liabilities, dtype: float64","
2021-12-31    112632000.0
2020-12-31     70621000.0
2019-12-31    286096000.0
2018-12-31    101445000.0
Name: Total Stockholder Equity, dtype: float64","
2021-12-31    15.341466
2020-12-31    26.485889
2019-12-31     5.486592
2018-12-31    18.628952
dtype: float64","
2021-12-31    732480000.0
2020-12-31    921450000.0
2019-12-31    924442000.0
2018-12-31    867262000.0
Name: Cash, dtype: float64","
2021-12-31    1.892053e+09
2020-12-31    2.112558e+09
2019-12-31    2.236081e+09
2018-12-31    2.697517e+09
Name: Total Current Assets, dtype: float64"
64,SBII,,,"
2021-12-31    1709074.0
Name: Total Current Liabilities, dtype: float64","
2021-12-31   -16004640.0
Name: Total Stockholder Equity, dtype: float64","
2021-12-31   -0.106786
dtype: float64","
2021-12-31    587754.0
Name: Cash, dtype: float64","
2021-12-31    1000048.0
Name: Total Current Assets, dtype: float64"
65,SST,,,"
2021-12-31    276554000.0
2020-12-31     80517000.0
2019-12-31    132992000.0
2018-12-31            NaN
Name: Total Current Liabilities, dtype: float64","
2021-12-31   -28401000.0
2020-12-31   -48229000.0
2019-12-31   -68488000.0
2018-12-31           NaN
Name: Total Stockholder Equity, dtype: float64","
2021-12-31   -9.737474
2020-12-31   -1.669473
2019-12-31   -1.941829
2018-12-31         NaN
dtype: float64","
2021-12-31    47896000.0
2020-12-31    29013000.0
2019-12-31    31886000.0
2018-12-31           NaN
Name: Cash, dtype: float64","
2021-12-31    145788000.0
2020-12-31    103169000.0
2019-12-31    120348000.0
2018-12-31            NaN
Name: Total Current Assets, dtype: float64"
66,CXU.F,1.272513704,0.0137,"
2021-12-31    2.075200e+09
2020-12-31    1.388600e+09
2019-12-31    1.092300e+09
2018-12-31    1.326300e+09
Name: Total Current Liabilities, dtype: float64","
2021-12-31    3.233200e+09
2020-12-31    3.020400e+09
2019-12-31    2.667800e+09
2018-12-31    2.453800e+09
Name: Total Stockholder Equity, dtype: float64","
2021-12-31    0.641841
2020-12-31    0.459740
2019-12-31    0.409438
2018-12-31    0.540509
dtype: float64","
2021-12-31    240600000.0
2020-12-31    183100000.0
2019-12-31    155700000.0
2018-12-31    316700000.0
Name: Cash, dtype: float64","
2021-12-31    1.233400e+09
2020-12-31    1.112400e+09
2019-12-31    9.564000e+08
2018-12-31    1.078200e+09
Name: Total Current Assets, dtype: float64"
67,RDEIF,,0.071,"
2021-12-31    2.973411e+09
2020-12-31    1.458890e+09
2019-12-31    2.275821e+09
2018-12-31    1.564392e+09
Name: Total Current Liabilities, dtype: float64","
2021-12-31    3.631082e+09
2020-12-31    3.435602e+09
2019-12-31    3.512516e+09
2018-12-31    3.360534e+09
Name: Total Stockholder Equity, dtype: float64","
2021-12-31    0.818877
2020-12-31    0.424639
2019-12-31    0.647918
2018-12-31    0.465519
dtype: float64","
2021-12-31    1.574427e+09
2020-12-31    4.817720e+08
2019-12-31    3.285700e+08
2018-12-31    7.671520e+08
Name: Cash, dtype: float64","
2021-12-31    2.887410e+09
2020-12-31    1.914549e+09
2019-12-31    1.786808e+09
2018-12-31    1.958566e+09
Name: Total Current Assets, dtype: float64"
68,WH,-2.282842785,0.0171,"
2021-12-31    397000000.0
2020-12-31    346000000.0
2019-12-31    462000000.0
2018-12-31    693000000.0
Name: Total Current Liabilities, dtype: float64","
2021-12-31    1.089000e+09
2020-12-31    9.630000e+08
2019-12-31    1.212000e+09
2018-12-31    1.418000e+09
Name: Total Stockholder Equity, dtype: float64","
2021-12-31    0.364555
2020-12-31    0.359294
2019-12-31    0.381188
2018-12-31    0.488717
dtype: float64","
2021-12-31    171000000.0
2020-12-31    493000000.0
2019-12-31     94000000.0
2018-12-31    366000000.0
Name: Cash, dtype: float64","
2021-12-31    720000000.0
2020-12-31    900000000.0
2019-12-31    499000000.0
2018-12-31    851000000.0
Name: Total Current Assets, dtype: float64"
69,CR,1.671834625,0.019199999,"
2021-12-31    7.952000e+08
2020-12-31    1.056600e+09
2019-12-31    9.167000e+08
2018-12-31    7.402000e+08
Name: Total Current Liabilities, dtype: float64","
2021-12-31    1.832300e+09
2020-12-31    1.528900e+09
2019-12-31    1.473700e+09
2018-12-31    1.524200e+09
Name: Total Stockholder Equity, dtype: float64","
2021-12-31    0.433990
2020-12-31    0.691085
2019-12-31    0.622040
2018-12-31    0.485632
dtype: float64","
2021-12-31    478600000.0
2020-12-31    551000000.0
2019-12-31    393900000.0
2018-12-31    343400000.0
Name: Cash, dtype: float64","
2021-12-31    1.744200e+09
2020-12-31    1.573700e+09
2019-12-31    1.499900e+09
2018-12-31    1.362900e+09
Name: Total Current Assets, dtype: float64"
70,HAACU,,,,,,,
71,NTRSO,,0.058000002,"
2021-12-31    1.655114e+11
2020-12-31    1.507774e+11
2019-12-31    1.191280e+11
2018-12-31    1.157839e+11
Name: Total Current Liabilities, dtype: float64","
2021-12-31    1.113190e+10
2020-12-31    1.080340e+10
2019-12-31    9.817600e+09
2018-12-31    9.626300e+09
Name: Total Stockholder Equity, dtype: float64","
2021-12-31    14.868208
2020-12-31    13.956477
2019-12-31    12.134126
2018-12-31    12.027872
dtype: float64","
2021-12-31    3.056800e+09
2020-12-31    4.389500e+09
2019-12-31    4.464200e+09
2018-12-31    4.715600e+09
Name: Cash, dtype: float64","
2021-12-31    7.475970e+10
2020-12-31    6.981700e+10
2019-12-31    4.699990e+10
2018-12-31    4.383010e+10
Name: Total Current Assets, dtype: float64"
