ticker,eps,dividend,tcl,tse,stable,total_cash,total_current_asset
GSRM,,,"[3559527, 290278, 128265, 75000]","[-1365158, 2191383, 2327273, 15000]","[-2.607410277784696, 0.13246338043144443, 0.055113860728844444, 5.0]",[44739],[44739]
CDAQW,,,,,,[1788014],[2208181]
IMAQR,,,,,,,
ORLA,,,"[77672000, 58345000, 44807000, 37768000]","[374199000, 217395000, 204781000, 184417000]","[0.20756870007669717, 0.2683824374985625, 0.21880447893115085, 0.2047967378278575]","[12250831.479483, 22973045.388779, 72180000, 20516000]","[12684742.626814, 23115435.55314, 73100000, 48345000]"
NVO,1.150684932,0.0148,"[130257000000, 109655000000, 95602000000, 99516000000]","[76680000000, 74452000000, 66550000000, 70746000000]","[1.6987089201877934, 1.4728281308762692, 1.4365439519158527, 1.4066661012636756]","[15638000000, 15475000000, 12757000000, 10720000000]","[59067000000, 62456000000, 65809000000, 85595000000]"
CHS,-0.073954984,,"[420220000, 482417000, 450682000, 487385000]","[324537000, 297877000, 252778000, 221504000]","[1.2948292490532667, 1.6195174518341464, 1.7829162347989145, 2.2003440118462874]","[124128000, 63972000, 90791000, 115105000]","[485178000, 422802000, 402038000, 494063000]"
AXH,,,,,,,
CCXI,0.56684492,,,,,,
DMA,,0.0706,,,,[331780],[nan]
RNSDF,,,"[67542000000, 67542000000, 67285000000, 67285000000]","[27399000000, 27399000000, 27320000000, 27320000000]","[2.465126464469506, 2.465126464469506, 2.4628477306002927, 2.4628477306002927]","[14777000000, 14982000000, 21697000000, 21928000000]","[69975000000, 73778000000, 74275000000, 72331000000]"
RWAYL,,,,,,,
CXH,,0.0476,"[1627360, 1627360, 5183275, 5183275]","[83563632, 83563632, 98774396, 98774396]","[0.01947450058178419, 0.01947450058178419, 0.05247589668885447, 0.05247589668885447]","[1196532, 283533, 2058944, 3140153]","[nan, nan, nan, nan]"
CRM,0.947488584,,"[20080000000, 19899000000, 21788000000, 15035000000]","[60098000000, 58876000000, 58131000000, 57054000000]","[0.3341209358048521, 0.33798152048372854, 0.37480862190569575, 0.26352227714095416]","[2669000000, 4145000000, 6195000000, 5464000000]","[10683000000, 15963000000, 21889000000, 22850000000]"
GLTO,1.098233996,,"[8858000, 7488000, 7214000, 4544000]","[72727000, 85065000, 101314000, 117223000]","[0.12179795674233779, 0.08802680303297479, 0.07120437451882267, 0.038763723842590615]","[30987000, 11294000, 163582000, 62563000]","[34960000, 56080000, 169295000, 110102000]"
JDSPY,,0.0042,"[2042200000, 2042200000, 1886900000, 1886900000]","[2187300000, 2187300000, 1926000000, 1926000000]","[0.933662506286289, 0.933662506286289, 0.9796988577362409, 0.9796988577362409]","[251200000, 465900000, 964400000, 1314000000]","[1192200000, 1461600000, 1919300000, 2676500000]"
UTME,,,"[163136000, 163136000, 180061000, 180061000]","[64988000, 64988000, 90334000, 90334000]","[2.5102480457930696, 2.5102480457930696, 1.9932804923948901, 1.9932804923948901]","[7408000, 554000, 8977000, 66692000]","[137077000, 116806000, 130829000, 192917000]"
EONGY,,0.0626,"[62657000000, 52855000000, 50774000000, 40511000000]","[19083000000, 17470000000, 14305000000, 12053000000]","[3.283393596394697, 3.0254722381224957, 3.5493883257602237, 3.3610719322990126]","[3924000000, 1894000000, 2668000000, 3634000000]","[23441000000, 22122000000, 19901000000, 39122000000]"
SFET,0.416666667,,"[6079000, 6156000, 5425000, 4993000]","[17316000, 20397000, 24187000, 27752000]","[0.35106260106260107, 0.30180908957199587, 0.22429404225410343, 0.17991496108388585]","[3717000, 4341000, 11017000, 3828000]","[4906000, 5520000, 12559000, 11924000]"
0HAH.L,,,"[16144000000, 153841000000, 147207000000, 100227000000]","[6466000000, 1980000000, 8036000000, 12131000000]","[2.496752242499227, 77.69747474747474, 18.318442010950722, 8.26205588986893]",,
BXMX,,0.075100005,"[41909025, 41909025, 41242265, 41242265]","[1325214665, 1325214665, 1591144366, 1591144366]","[0.03162432933082581, 0.03162432933082581, 0.025919876210654287, 0.025919876210654287]","[17877, 1430, 0, 792]","[nan, nan, nan, nan]"
BTW.F,1.44343303,0.0084,"[4238600000, 2899900000, 2438900000, 2667366000]","[4310600000, 4283400000, 4335300000, 4196893000]","[0.983296988818262, 0.6770089181491339, 0.5625677577099624, 0.63555730393889]","[438961000, 542174000, 817398000, 887009000]","[2167311000, 2494802000, 2958249000, 3330284000]"
GLS,,,"[79799000, 69279000, 51447000, 101536000]","[-3595000, 5098000, 10037000, -329836000]","[-22.197218358831712, 13.589446841898784, 5.1257347813091565, -0.3078378345602057]",,
BLU,1.022326675,,"[22298000, 19094000, 15980000, 16949000]","[406642000, 263942000, 279793000, 292029000]","[0.05483447356642944, 0.07234165081722499, 0.057113651878352927, 0.05803875642487561]","[10963782.001865, 18584213.06468, 48889000, 150078000]","[37344258.20283, 93721053.074785, 102314000, 258204000]"
UUUU,0.742358079,,"[3815000, 5004000, 6115000, 3575000]","[266571000, 283133000, 291575000, 245965000]","[0.01431138420908501, 0.017673672796883443, 0.020972305581754266, 0.014534588254426443]","[14640000, 12810000, 20168000, 112517000]","[60853000, 43172000, 52472000, 149305000]"
CGTX,0.057649667,,"
2021-12-31    7864000.0
2020-12-31    3250000.0
2019-12-31    3683000.0
Name: Total Current Liabilities, dtype: float64","
2021-12-31    51273000.0
2020-12-31   -68184000.0
2019-12-31   -58422000.0
Name: Total Stockholder Equity, dtype: float64","
2021-12-31    0.153375
2020-12-31   -0.047665
2019-12-31   -0.063041
dtype: float64","
2021-12-31    54721000.0
2020-12-31     5189000.0
2019-12-31     2890000.0
Name: Cash, dtype: float64","
2021-12-31    58992000.0
2020-12-31     6908000.0
2019-12-31     7160000.0
Name: Total Current Assets, dtype: float64"
SZZL,,,"
2021-12-31    406411.0
2020-12-31     93261.0
Name: Total Current Liabilities, dtype: float64","
2021-12-31   -7103510.0
2020-12-31      23228.0
Name: Total Stockholder Equity, dtype: float64","
2021-12-31   -0.057213
2020-12-31    4.015025
dtype: float64","
2021-12-31    1046646.0
2020-12-31      25010.0
Name: Cash, dtype: float64","
2021-12-31    1408888.0
2020-12-31      25010.0
Name: Total Current Assets, dtype: float64"
LARK,,0.033099998,"
2021-12-31    1.156009e+09
2020-12-31    1.023032e+09
2019-12-31    8.560500e+08
2018-12-31    8.593610e+08
Name: Total Current Liabilities, dtype: float64","
2021-12-31    135643000.0
2020-12-31    126672000.0
2019-12-31    108607000.0
2018-12-31     91901000.0
Name: Total Stockholder Equity, dtype: float64","
2021-12-31    8.522438
2020-12-31    8.076228
2019-12-31    7.882089
2018-12-31    9.350943
dtype: float64","
2021-12-31    189213000.0
2020-12-31     84818000.0
2019-12-31     13694000.0
2018-12-31     19114000.0
Name: Cash, dtype: float64","
2021-12-31    208836000.0
2020-12-31    114266000.0
2019-12-31     29474000.0
2018-12-31     36835000.0
Name: Total Current Assets, dtype: float64"
GPP,1.291618829,0.1393,"
2021-12-31     22482000.0
2020-12-31    119082000.0
2019-12-31    155812000.0
2018-12-31      8188000.0
Name: Total Current Liabilities, dtype: float64","
2021-12-31     2246000.0
2020-12-31   -45545000.0
2019-12-31   -74298000.0
2018-12-31   -71283000.0
Name: Total Stockholder Equity, dtype: float64","
2021-12-31    10.009795
2020-12-31    -2.614601
2019-12-31    -2.097122
2018-12-31    -0.114866
dtype: float64","
2021-12-31    17645000.0
2020-12-31     2478000.0
2019-12-31      261000.0
2018-12-31      569000.0
Name: Cash, dtype: float64","
2021-12-31    33045000.0
2020-12-31    17994000.0
2019-12-31    17429000.0
2018-12-31    16616000.0
Name: Total Current Assets, dtype: float64"
0Y0Y.L,,,"
2022-08-31    1.752350e+10
2021-08-31    1.570887e+10
2020-08-31    1.266259e+10
2019-08-31    1.106190e+10
Name: Total Current Liabilities, dtype: float64","
2022-08-31    2.210610e+10
2021-08-31    1.952945e+10
2020-08-31    1.700054e+10
2019-08-31    1.440901e+10
Name: Total Stockholder Equity, dtype: float64","
2022-08-31    0.792700
2021-08-31    0.804368
2020-08-31    0.744835
2019-08-31    0.767707
dtype: float64","
2022-08-31    7.889833e+09
2021-08-31    8.168174e+09
2020-08-31    8.415330e+09
2019-08-31    6.126853e+09
Name: Cash, dtype: float64","
2022-08-31    2.161087e+10
2021-08-31    1.966651e+10
2020-08-31    1.774976e+10
2019-08-31    1.545060e+10
Name: Total Current Assets, dtype: float64"
LIQT,-1.645021645,,"
2021-12-31    16867523.0
2020-12-31     9814934.0
2019-12-31    10332131.0
2018-12-31     4619613.0
Name: Total Current Liabilities, dtype: float64","
2021-12-31    12774860.0
2020-12-31    24818315.0
2019-12-31    23005531.0
2018-12-31     8539636.0
Name: Total Stockholder Equity, dtype: float64","
2021-12-31    1.320369
2020-12-31    0.395471
2019-12-31    0.449115
2018-12-31    0.540961
dtype: float64","
2021-12-31    15363685.0
2020-12-31    11748829.0
2019-12-31     7069759.0
2018-12-31     3776111.0
Name: Cash, dtype: float64","
2021-12-31    28066781.0
2020-12-31    25654926.0
2019-12-31    27487257.0
2018-12-31    11373206.0
Name: Total Current Assets, dtype: float64"
SSKN,0.687022901,,"
2021-12-31    12802000.0
2020-12-31    18838000.0
2019-12-31    17434000.0
2018-12-31     8615000.0
Name: Total Current Liabilities, dtype: float64","
2021-12-31    25414000.0
2020-12-31    25892000.0
2019-12-31    28653000.0
2018-12-31    31248000.0
Name: Total Stockholder Equity, dtype: float64","
2021-12-31    0.503738
2020-12-31    0.727561
2019-12-31    0.608453
2018-12-31    0.275698
dtype: float64","
2021-12-31    12586000.0
2020-12-31    10604000.0
2019-12-31     8129000.0
2018-12-31    16487000.0
Name: Cash, dtype: float64","
2021-12-31    19970000.0
2020-12-31    24831000.0
2019-12-31    23555000.0
2018-12-31    23210000.0
Name: Total Current Assets, dtype: float64"
IVSXF,,0.013400001,"
2021-12-31    1.397700e+10
2020-12-31    1.441700e+10
2019-12-31    1.026500e+10
2018-12-31    1.334500e+10
Name: Total Current Liabilities, dtype: float64","
2021-12-31    6.826140e+11
2020-12-31    4.618370e+11
2019-12-31    4.206810e+11
2018-12-31    3.275080e+11
Name: Total Stockholder Equity, dtype: float64","
2021-12-31    0.020476
2020-12-31    0.031217
2019-12-31    0.024401
2018-12-31    0.040747
dtype: float64","
2021-12-31    1.833000e+10
2020-12-31    1.967000e+10
2019-12-31    1.923100e+10
2018-12-31    1.141600e+10
Name: Cash, dtype: float64","
2021-12-31    3.508800e+10
2020-12-31    4.125200e+10
2019-12-31    3.544300e+10
2018-12-31    2.769300e+10
Name: Total Current Assets, dtype: float64"
CMPOW,,,,,,,
VLY,1.17,0.0379,"
2021-12-31    3.698292e+10
2020-12-31    3.346277e+10
2019-12-31    3.055956e+10
2018-12-31    2.678490e+10
Name: Total Current Liabilities, dtype: float64","
2021-12-31    4.874375e+09
2020-12-31    4.382429e+09
2019-12-31    4.174497e+09
2018-12-31    3.140763e+09
Name: Total Stockholder Equity, dtype: float64","
2021-12-31    7.587214
2020-12-31    7.635668
2019-12-31    7.320537
2018-12-31    8.528149
dtype: float64","
2021-12-31    2.049920e+09
2020-12-31    1.329205e+09
2019-12-31    3.202870e+08
2018-12-31    3.079290e+08
Name: Cash, dtype: float64","
2021-12-31    2.511138e+09
2020-12-31    2.132774e+09
2019-12-31    7.856590e+08
2018-12-31    6.182940e+08
Name: Total Current Assets, dtype: float64"
VPG,2.35443038,,"
2021-12-31    64628000.0
2020-12-31    47547000.0
2019-12-31    88911000.0
2018-12-31    54782000.0
Name: Total Current Liabilities, dtype: float64","
2021-12-31    277099000.0
2020-12-31    257823000.0
2019-12-31    241360000.0
2018-12-31    218415000.0
Name: Total Stockholder Equity, dtype: float64","
2021-12-31    0.233231
2020-12-31    0.184417
2019-12-31    0.368375
2018-12-31    0.250816
dtype: float64","
2021-12-31    84335000.0
2020-12-31    98438000.0
2019-12-31    86910000.0
2018-12-31    90159000.0
Name: Cash, dtype: float64","
2021-12-31    234943000.0
2020-12-31    221886000.0
2019-12-31    212561000.0
2018-12-31    214870000.0
Name: Total Current Assets, dtype: float64"
HIVE,,,"
2022-03-31    26154632.0
2021-03-31     9858125.0
2020-03-31     7242448.0
2019-03-31     5812672.0
Name: Total Current Liabilities, dtype: float64","
2022-03-31    389052565.0
2021-03-31    128153766.0
2020-03-31     21086435.0
2019-03-31     21948525.0
Name: Total Stockholder Equity, dtype: float64","
2022-03-31    0.067226
2021-03-31    0.076924
2020-03-31    0.343465
2019-03-31    0.264832
dtype: float64","
2022-03-31     5318922.0
2021-03-31    40290513.0
2020-03-31     5130127.0
2019-03-31     6810471.0
Name: Cash, dtype: float64","
2022-03-31    200298403.0
2021-03-31    107540078.0
2020-03-31     18334732.0
2019-03-31     15654938.0
Name: Total Current Assets, dtype: float64"
CBU,0.941676792,0.029000001,"
2021-12-31    1.334069e+10
2020-12-31    1.160249e+10
2019-12-31    9.343793e+09
2018-12-31    8.720598e+09
Name: Total Current Liabilities, dtype: float64","
2021-12-31    2.100807e+09
2020-12-31    2.104107e+09
2019-12-31    1.855234e+09
2018-12-31    1.713783e+09
Name: Total Stockholder Equity, dtype: float64","
2021-12-31    6.350267
2020-12-31    5.514212
2019-12-31    5.036450
2018-12-31    5.088508
dtype: float64","
2021-12-31    1.875064e+09
2020-12-31    1.645805e+09
2019-12-31    2.050300e+08
2018-12-31    2.118340e+08
Name: Cash, dtype: float64","
2021-12-31    1.912055e+09
2020-12-31    1.688929e+09
2019-12-31    2.387980e+08
2018-12-31    2.442850e+08
Name: Total Current Assets, dtype: float64"
DINO,,0.025999999,"
2021-12-31    2.065464e+09
2020-12-31    1.375156e+09
2019-12-31    1.685928e+09
2018-12-31    1.168155e+09
Name: Total Current Liabilities, dtype: float64","
2021-12-31    5.687885e+09
2020-12-31    5.168361e+09
2019-12-31    5.978193e+09
2018-12-31    5.918571e+09
Name: Total Stockholder Equity, dtype: float64","
2021-12-31    0.363134
2020-12-31    0.266072
2019-12-31    0.282013
2018-12-31    0.197371
dtype: float64","
2021-12-31    2.344440e+08
2020-12-31    1.368318e+09
2019-12-31    8.851620e+08
2018-12-31    1.154752e+09
Name: Cash, dtype: float64","
2021-12-31    3.762454e+09
2020-12-31    3.310761e+09
2019-12-31    3.306189e+09
2018-12-31    3.296379e+09
Name: Total Current Assets, dtype: float64"
PEGRW,,,,,,,
ACBAU,,,,,,,
AER,-2.88440367,,"
2021-12-31    4.233561e+09
2020-12-31    2.410477e+09
2019-12-31    2.781680e+09
2018-12-31    2.828256e+09
Name: Total Current Liabilities, dtype: float64","
2021-12-31    1.657074e+10
2020-12-31    8.864470e+09
2019-12-31    9.314897e+09
2018-12-31    8.828048e+09
Name: Total Stockholder Equity, dtype: float64","
2021-12-31    0.255484
2020-12-31    0.271926
2019-12-31    0.298627
2018-12-31    0.320372
dtype: float64","
2021-12-31    1.728794e+09
2020-12-31    1.248772e+09
2019-12-31    1.121396e+09
2018-12-31    1.204018e+09
Name: Cash, dtype: float64","
2021-12-31    6.322839e+09
2020-12-31    3.374920e+09
2019-12-31    3.252934e+09
2018-12-31    3.101980e+09
Name: Total Current Assets, dtype: float64"
KSPN,-0.309777348,,"
2022-01-29    19248000.0
2021-01-30    20028000.0
2020-02-01    71061000.0
2019-02-02    49416000.0
Name: Total Current Liabilities, dtype: float64","
2022-01-29     7285000.0
2021-01-30     1489000.0
2020-02-01     4515000.0
2019-02-02    63730000.0
Name: Total Stockholder Equity, dtype: float64","
2022-01-29     2.642141
2021-01-30    13.450638
2020-02-01    15.738870
2019-02-02     0.775396
dtype: float64","
2022-01-29    1218000.0
2021-01-30    1809000.0
2020-02-01    2977000.0
2019-02-02    4355000.0
Name: Cash, dtype: float64","
2022-01-29     34637000.0
2021-01-30     30790000.0
2020-02-01     80065000.0
2019-02-02    115363000.0
Name: Total Current Assets, dtype: float64"
PIAI,,,"
2021-12-31    487012.0
2020-12-31    670577.0
Name: Total Current Liabilities, dtype: float64","
2021-12-31   -19849271.0
2020-12-31   -35617272.0
Name: Total Stockholder Equity, dtype: float64","
2021-12-31   -0.024536
2020-12-31   -0.018827
dtype: float64","
2021-12-31     665940.0
2020-12-31    1600255.0
Name: Cash, dtype: float64","
2021-12-31     776566.0
2020-12-31    1934603.0
Name: Total Current Assets, dtype: float64"
HAYW,3.8585209,,"
2021-12-31    303864000.0
2020-12-31    218654000.0
2019-12-31    140400000.0
Name: Total Current Liabilities, dtype: float64","
2021-12-31    1.369513e+09
2020-12-31    2.092610e+08
2019-12-31    1.640000e+08
Name: Total Stockholder Equity, dtype: float64","
2021-12-31    0.221877
2020-12-31    1.044887
2019-12-31    0.856098
dtype: float64","
2021-12-31    265796000.0
2020-12-31    114864000.0
2019-12-31     47200000.0
Name: Cash, dtype: float64","
2021-12-31    750521000.0
2020-12-31    424414000.0
2019-12-31    385800000.0
Name: Total Current Assets, dtype: float64"
QRVO,2.496993024,,"
2022-04-02    675127000.0
2021-04-03    681581000.0
2020-03-28    539003000.0
2019-03-30    435614000.0
Name: Total Current Liabilities, dtype: float64","
2022-04-02    4.553218e+09
2021-04-03    4.629425e+09
2020-03-28    4.292665e+09
2019-03-30    4.359679e+09
Name: Total Stockholder Equity, dtype: float64","
2022-04-02    0.148275
2021-04-03    0.147228
2020-03-28    0.125564
2019-03-30    0.099919
dtype: float64","
2022-04-02    9.725920e+08
2021-04-03    1.397880e+09
2020-03-28    7.149390e+08
2019-03-30    7.110350e+08
Name: Cash, dtype: float64","
2022-04-02    2.449865e+09
2021-04-03    2.483804e+09
2020-03-28    1.690502e+09
2019-03-30    1.684841e+09
Name: Total Current Assets, dtype: float64"
CIVI,3.467769735,0.026700001,"
2021-12-31    1.119506e+09
2020-12-31    7.448400e+07
2019-12-31    1.047390e+08
2018-12-31    9.947600e+07
Name: Total Current Liabilities, dtype: float64","
2021-12-31    4.654998e+09
2020-12-31    1.045252e+09
2019-12-31    9.366900e+08
2018-12-31    8.639130e+08
Name: Total Stockholder Equity, dtype: float64","
2021-12-31    0.240495
2020-12-31    0.071259
2019-12-31    0.111818
2018-12-31    0.115146
dtype: float64","
2021-12-31    254454000.0
2020-12-31     24743000.0
2019-12-31     11008000.0
2018-12-31     12916000.0
Name: Cash, dtype: float64","
2021-12-31    719937000.0
2020-12-31     92405000.0
2019-12-31    110516000.0
2018-12-31    134811000.0
Name: Total Current Assets, dtype: float64"
NVSAU,,,,,,,
PX,18.73096447,0.0113,"
2021-12-31    17317000.0
2020-12-31    47074000.0
2019-12-31    47266000.0
2018-12-31     4180000.0
Name: Total Current Liabilities, dtype: float64","
2021-12-31    395164000.0
2020-12-31     59841000.0
2019-12-31     36041000.0
2018-12-31     23910000.0
Name: Total Stockholder Equity, dtype: float64","
2021-12-31    0.043822
2020-12-31    0.786651
2019-12-31    1.311451
2018-12-31    0.174822
dtype: float64","
2021-12-31    40916000.0
2020-12-31    11773000.0
2019-12-31    18710000.0
2018-12-31     8195000.0
Name: Cash, dtype: float64","
2021-12-31    66004000.0
2020-12-31    21312000.0
2019-12-31    23203000.0
2018-12-31    10160000.0
Name: Total Current Assets, dtype: float64"
QUIK,0,,"
2022-01-02    18873000.0
2021-01-03    18012000.0
2019-12-29    17998000.0
2018-12-30    18707000.0
Name: Total Current Liabilities, dtype: float64","
2022-01-02     9209000.0
2021-01-03    12487000.0
2019-12-29    13823000.0
2018-12-30    17255000.0
Name: Total Stockholder Equity, dtype: float64","
2022-01-02    2.049408
2021-01-03    1.442460
2019-12-29    1.302033
2018-12-30    1.084150
dtype: float64","
2022-01-02    19605000.0
2021-01-03    22748000.0
2019-12-29    21548000.0
2018-12-30    26363000.0
Name: Cash, dtype: float64","
2022-01-02    24158000.0
2021-01-03    28190000.0
2019-12-29    28364000.0
2018-12-30    34283000.0
Name: Total Current Assets, dtype: float64"
MBISF,,,"
2021-12-31    570590000.0
2020-12-31    787330000.0
2019-12-31    629641000.0
2018-12-31    529993000.0
Name: Total Current Liabilities, dtype: float64","
2021-12-31    624156000.0
2020-12-31    613925000.0
2019-12-31    591520000.0
2018-12-31    587139000.0
Name: Total Stockholder Equity, dtype: float64","
2021-12-31    0.914179
2020-12-31    1.282453
2019-12-31    1.064446
2018-12-31    0.902670
dtype: float64","
2021-12-31    53735000.0
2020-12-31    60816000.0
2019-12-31    20175000.0
2018-12-31    26591000.0
Name: Cash, dtype: float64","
2021-12-31    350347000.0
2020-12-31    374703000.0
2019-12-31    363777000.0
2018-12-31    326920000.0
Name: Total Current Assets, dtype: float64"
BZ,-0.279388508,,"
2021-12-31    2.784202e+09
2020-12-31    1.720023e+09
2019-12-31    1.007855e+09
Name: Total Current Liabilities, dtype: float64","
2021-12-31    1.067406e+10
2020-12-31   -2.300117e+09
2019-12-31   -1.660936e+09
Name: Total Stockholder Equity, dtype: float64","
2021-12-31    0.260838
2020-12-31   -0.747798
2019-12-31   -0.606799
dtype: float64","
2021-12-31    1.134176e+10
2020-12-31    3.998203e+09
2019-12-31    4.073550e+08
Name: Cash, dtype: float64","
2021-12-31    1.295895e+10
2020-12-31    4.747312e+09
2019-12-31    1.707793e+09
Name: Total Current Assets, dtype: float64"
